,Município,Estado,Prestadores,Serviços,Natureza Jurídica,QD011 - Quantidades de extravasamentos de esgotos registrados,QD012 - Duração dos extravasamentos registrados,QD021 - Quantidade de interrupções sistemáticas,QD022 - Duração das interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados,QD025 - Tempo total de execução dos serviços,POPULAÇÃO ESTIMADA
4913,Catiguá,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35112040] PREFEITURA MUNICIPAL DE CATIGUÁ - PMC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública,,,,,559,559,"18.501,00",7804
4916,Cerquilho,SP,"[35115011] Serviço Autônomo de Água e Esgoto de Cerquilho - SAAEC | [35115040] Secretaria de Agricultura, Abastecimento e Meio Ambiente - SAAMA",Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,146.0,,,,28.266,27.198,"36.789,00",48949
4917,Cesário Lange,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35116040] Prefeitura Municipal de Cesário Lange - PMCL,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,5.0,"30,00",2.131,2.131,"65.959,00",18148
4918,Charqueada,SP,"[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35117040] Secretaria de Obras, Serviços e Meio Ambiente - SOSMA",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.989,2.989,"443.376,00",17190
4919,Chavantes,SP,[35572011] Superintendência de Água e Esgoto Chavantes - SAEC | [35572040] Prefeitura Municipal de Chavantes - PMC,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,12.0,"28,00",25.0,"164,00",520,511,"1.764,00",12418
4920,Clementina,SP,[35119011] Prefeitura Municipal de Clementina - PMC | [35119040] PREFEITURA MUNICIPAL DE CLEMENTINA - PMC,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,28.0,"1,30",6.0,"40,00",620,613,"839,00",8617
4921,Colina,SP,[35120011] Serviço Autônomo de Água e Esgoto de Colina - SAEC | [35120040] PREFEITURA MUNICIPAL DE COLINA - PMC,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,,,3.594,3.594,"23.000,00",18468
4922,Colômbia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,698,698,"56.229,00",6210
4923,Conchal,SP,[35122011] Prefeitura Municipal de Conchal - PMC | [35122040] PREFEITURA MUNICIPAL DE CONCHAL - PMC,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,8.0,"6,00",13.0,"91,00",7.500,7.350,"22.500,00",28050
4924,Conchas,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35123040] Prefeitura Municipal de Conchas - PMC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,22.0,"132,00",3.274,3.274,"219.566,00",17896
4926,Coroados,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35125040] PREFEITURA MUNICIPAL DE COROADOS - PMC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,376,376,"12.740,00",6058
4927,Coronel Macedo,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35126040] SECRETARIA DO MEIO AMBIENTE - SMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,430,430,"4.891,00",4681
4929,Cosmópolis,SP,[35128011] Prefeitura Municipal de Cosmópolis - DAE | [35128040] Prefeitura Municipal de Cosmópolis - PMC,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,133.0,"3.192,00",,,6.464,6.043,"36.258,00",72252
4931,Cotia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35130040] PREFEITURA MUNICIPAL DE COTIA - PMC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.106,"23.726,00",,,49.911,7.786,"116.625,00",249210
4932,Cravinhos,SP,[35131011] Serviço Autônomo de Água e Esgoto - SAAE,Água e Esgoto,Autarquia,6.0,"24,00",6.0,"48,00",516,516,"2,00",35292
4934,Cruzália,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35133040] DEPARTAMENTO DE AGRICULTURA ABASTECIMENTO E MEIO AMBIENTE - DAMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.365,1.365,"10.216,00",2073
4935,Cruzeiro,SP,[35134011] Serviço Autônomo de Água e Esgoto - SAAE | [35134040] Secretaria Municipal de Meio Ambiente - SEMA,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,,,9.470,9.470,"9.111,00",82238
4936,Cubatão,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35135040] SECRETARIA DE MANUTENÇÃO URBANA E SERVIÇOS PÚBLICOS - SESEP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.0,"15,00",48.0,"448,00",8.129,8.127,"3.414.922,00",130705
4938,Descalvado,SP,[35137011] Prefeitura Municipal de Descalvado - SEMARH | [35137040] Prefeitura Municipal de Descalvado - PMD,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,460.0,,8.0,"50,00",3.756,3.756,"1.827,00",33718
4939,Diadema,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35138040] PREFEITURA DO MUNICÍPIO DE DIADEMA - PMD,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,2.688,"76.913,00",,,70.113,10.097,"199.928,00",423884
4940,Dirce Reis,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35138540] Prefeitura Municipal de Dirce Reis - PM Dirce Reis,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,740,740,"8.451,00",1793
4941,Divinolândia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35139040] PREFEITURA MUNICIPAL DE DIVINOLANDIA - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.509,1.509,"369.845,00",11146
4943,Dois Córregos,SP,[35141011] Serviço Autônomo de Água e Esgoto de Dois Córregos - SAAEDOCO | [35141040] Departamento de Agricultura e Meio Ambiente - DA&MA,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,50.0,"110,00",14.0,"90,00",4.681,4.681,,27315
4944,Dolcinópolis,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35142040] Prefeitura Municipal de Dolcinópolis - PMD,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,965,965,"10.934,00",2115
4945,Dourado,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35143040] Prefeitura Municipal de Dourado - PMD,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.284,1.284,"181.824,00",8873
4946,Dracena,SP,"[35144011] Empresa de Desenvolvimento, Água, Esgoto e Pavimentação de Dracena - EMDAEP | [35144040] Secretaria da Agricultura, Meio Ambiente e Limpeza Pública - SAMA",Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,,,13.383,12.325,"6.162,30",46793
4947,Duartina,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35145040] MUNICIPIO DE DUARTINA - PSV_SGL,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.736,1.735,"67.214,00",12445
4949,Echaporã,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35147040] Prefeitura Municipal de Echaporã - PME,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.079,4.076,"53.439,00",6102
4950,Eldorado,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35148040] Prefeitura Municipal - PME,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.493,1.493,"201.909,00",15494
4951,Elias Fausto,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35149040] Prefeitura Municipal de Elias Fausto - PMEF,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.478,4.478,"297.120,00",17772
4953,Embaúba,SP,[35149511] Semae Ambiental Embauba - SEMAE | [35149540] PREFEITURA MUNICIPAL DE EMBAUBA - PME,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,10.0,"30,00",,,48,48,"720,00",2452
4954,Embu das Artes,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35150040] Prefeitura da Estância Turística de Embu das Artes - PMETE,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.602,"27.411,00",,,40.935,7.921,"158.823,00",273726
4955,Embu-Guaçu,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151040] Prefeitura Municipal de Embu-Guaçu - PMEG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,210.0,"8.116,00",,,12.016,1.576,"39.987,00",69385
4956,Emilianópolis,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,741,741,"26.766,00",3214
4958,Espírito Santo do Pinhal,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151840] Departamento de Agricultura e Meio Ambiente e Departamento de Serviços Urbanos - DAMA - SU,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,5.392,5.392,"1.164.012,00",44330
4959,Espírito Santo do Turvo,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151940] Prefeitura Municipal de Espirito Santo do Turvo - PM EST,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,507,505,"4.023,00",4829
4960,Estiva Gerbi,SP,[35573011] Prefeitura Municipal de Estiva Gerbi - PMEG | [35573040] Prefeitura Municipal de Estiva Gerbi - SP,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,76.0,"25,00",1.0,"6,00",2.943,2.943,,11304
4962,Estrela do Norte,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35153040] Prefeitura Municipal de Estrela do Norte - DMAAMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.484,1.484,"15.020,00",2766
4963,Euclides da Cunha Paulista,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35153540] Prefeitura Municipal de Euclides da Cunha Paulista - Pmecp,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.707,1.707,"71.762,00",9371
4964,Fartura,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35154040] Coordenadoria do Meio Ambiente - CMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,4.0,"24,00",1.956,1.955,"104.997,00",16036
4965,Fernandópolis,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35155040] Prefeitura Municipal de Fernandópolis - PM FERNANDOPOLIS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,11.442,11.440,"614.520,00",69116
4966,Fernando Prestes,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35156040] PREFEITURA MUNICIPAL DEFERNANDO PRESTES - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.270,1.270,"21.570,00",5783
4967,Fernão,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35156540] PREFEITURA MUNICIPAL DE FERNÃO - PMF,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,218,218,"7.420,00",1716
4968,Ferraz de Vasconcelos,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35157040] Secretaria Municipal de Serviços Urbanos - SMSU,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.382,"43.949,00",,,21.215,5.006,"92.946,00",194276
4969,Flora Rica,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35158040] Prefeitura Municipal de Flora Rica - PMFR,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,466,466,"13.811,00",1464
4970,Floreal,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35159040] Prefeitura Municipal de Floreal - PMF,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,874,874,"6.375,00",2917
4971,Flórida Paulista,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,1.671,1.671,"55.299,00",14640
4972,Florínia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35161040] Prefeitura Municipal de Florinea - FMS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.511,1.510,"27.014,00",2676
4973,Franca,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35162040] SECRETARIA DE SERVIÇOS E MEIO AMBIENTE - SESMAM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,36.505,36.501,"6.746.748,00",353187
4974,Francisco Morato,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35163040] Prefeitura Municipal Francisco Morato - PMFM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,543.0,"13.576,00",,,56.097,4.721,"74.129,00",175844
4975,Franco da Rocha,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35164040] Secretaria de Infraestrutura e Habitação - SIHAB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,596.0,"14.255,00",,,56.059,5.635,"86.081,00",154489
4976,Gabriel Monteiro,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35165040] Prefeitura Municipal de Gabriel Monteiro - PMGM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.092,1.092,"16.558,00",2776
4977,Gália,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35166040] Prefeitura Municipal de Gália - PMG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.001,1.001,"48.904,00",6548
4978,Garça,SP,[35167011] Serviço Autônomo de Água e Esgotos - SAAE | [35167040] Secretaria Municipal de Serviços Públicos - SASP,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,3.0,"11,00",,,33.980,33.980,,44390
4979,Gastão Vidigal,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,1.178,1.178,"12.961,00",4808
4981,General Salgado,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35169040] Prefeitura Municipal de General Salgado - PMGS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,1.0,"6,00",1.619,1.619,"21.095,00",10869
4983,Glicério,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35171040] PREFEITURA MUNICIPAL DE GLICERIO - P.M.G,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,441,439,"17.550,00",4815
4986,Guaíra,SP,[35174011] Departamento de Esgoto e Água de Guaíra - DEAGUA | [35174040] Município de Guaíra - PM,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,30.0,"226,00",1,1,"2,00",40790
4987,Guapiaçu,SP,[35175011] Prefeitura Municipal de Guapiaçu - PMG | [35175040] Prefeitura Municipal de Guapiaçu - Pref.,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,36.0,"54,00",8.0,"61,00",47,47,"111,00",21454
4988,Guapiara,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35176040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE E TURISMO - SMMAT,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.874,1.872,"59.449,00",17157
4989,Guará,SP,[35177011] Águas de Guará Ltda - GUARA | [35177040] Prefeitura Municipal de Guará - PMG,Água e Esgoto | Res. Sólidos,Empresa privada | Administração pública direta,8.0,"25,00",,,11.317,11.032,"14.446,02",21220
4990,Guaraçaí,SP,[35178011] Autarquia Municipal de Saneamento Ambiental de Guaraçaí - SAG | [35178040] Prefeitura Municipal de Guaraçaí - PM,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,3.0,"36,00",,,2.018,2.018,"3.027,00",8323
4995,Guararema,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35183040] PREFEITURA MUNICIPAL DE GUARAREMA - PMG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.0,"4,00",,,4.043,4.041,"583.342,00",29798
4996,Guaratinguetá,SP,"[35184011] Companhia de Serviço de Água, Esgoto e Resíduos de Guaratinguetá - SAEG | [35184040] COMPANHIA DE SERVIÇO DE ÁGUA, ESGOTO E RESÍDUOS DE GUARATINGUETÁ - SAEG",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública,1.218,"606,13",,,39.296,34.181,"102.543,00",121798
4997,Guareí,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35185040] Secretaria Municipal de Meio Ambiente - SEMMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.170,2.168,"63.044,00",18520
4998,Guariba,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35186040] Prefeitura Municipal de Guariba - PMG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.810,4.807,"395.475,00",40105
4999,Guarujá,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35187040] Secretaria Municipal de Operações Urbanas - SEURB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,21.0,"448,00",4.0,"24,00",19.535,19.532,"2.565.685,00",320459
5000,Guarulhos,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35188040] Secretaria de Serviços Públicos - SSP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,8.632,"249.109,00",,,205.803,40.175,"1.284.663,00",1379182
5002,Guzolândia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35189040] PREFEITURA MUNICIPAL DEGUZOLANDIA - PMG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública,,,,,1.118,1.118,"9.945,00",5267
5004,Holambra,SP,[35190512] Águas de Holambra - AH | [35190540] Prefeitura Municipal da Estância Turística de Holambra - PMH,Água e Esgoto | Res. Sólidos,Empresa privada | Administração pública direta,92.0,"64,40",,,6.702,6.702,"2.640,00",14930
5005,Hortolândia,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35190740] Municipio de Hortolândia - PMH,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,28.125,28.120,"4.061.230,00",230851
5007,Iacri,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35192040] PREFEITURA MUNICIPAL DE IACRI - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.097,1.096,"29.585,00",6321
5008,Iaras,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35192540] Prefeitura Municipal - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,2.0,"17,00",648,646,"131.389,00",9240
5009,Ibaté,SP,[35193011] Prefeitura Municipal de Ibaté - DAE | [35193040] Prefeitura Municipal de Ibaté - PMI,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,6.0,"1,00",1.0,"7,00",220,220,"910,00",35104
5010,Ibirá,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35194040] Prefeitura Municipal da Estância de Ibirá - PMEI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.542,3.542,"100.792,00",12393
5013,Ibiúna,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35197040] Secretaria de Desenvolvimento Urbano - SEDU,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,1.0,"6,00",5.177,5.177,"1.496.339,00",78878
5014,Icém,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35198040] PREFEITURA MUNICIPAL DE ICEM - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.443,1.442,"161.842,00",8243
5016,Igaraçu do Tietê,SP,[35200011] Prefeitura Municipal de Igaraçu do Tietê - SAEIT,Água e Esgoto,Administração pública direta,286.0,"65,00",6.0,"43,00",28.325,28.080,"2.013,00",24674
5017,Igarapava,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35201040] Departamento de Manutenção Urbana - DEPTO_MA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.787,4.787,"315.505,00",30432
5018,Igaratá,SP,"[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35202040] Secretaria Municipal de Planejamento e Mobilidade Urbana, Obras e Serviços - SPMUOS",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,955,955,"78.523,00",9534
5019,Iguape,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35203040] Município de Iguape - PMEI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.502,3.501,"673.576,00",30857
5020,Ilhabela,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,7.065,7.065,"987.145,00",34970
5021,Ilha Comprida,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35204240] Prefeitura Municipal de Ilha Comprida - PMIC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.487,3.486,"1.279.826,00",11166
5023,Indaiatuba,SP,[35205011] Serviço Autônomo de Água e Esgotos - SAAE | [35205040] SECRETARIA MUNICIPAL DE URBANISMO E MEIO AMBIENTE - SEMURB,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,437.0,,,,59.940,50.545,,251627
5025,Indiaporã,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35207040] Prefeitura Municipal de Indiaporã - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,434,433,"7.227,00",3897
5026,Inúbia Paulista,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35208040] Prefeitura Municipal de Inubia Paulista - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,1.0,"6,00",749,749,"22.690,00",3991
5028,Iperó,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35210040] Prefeitura Municipal de Iperó - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública,,,,,4.252,4.249,"602.684,00",37133
5031,Iporanga,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35212040] Secretaria Municipal de Trusimo e Meio Ambiente - STMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,351,351,"40.415,00",4218
5032,Ipuã,SP,[35213011] Serviço Autônomo de Água e Esgotos - SAAE | [35213040] DEPARTAMENTO DE INFRAESTRUTURA - INFRA,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,,,2.010,2.010,"603,00",16409
5034,Irapuã,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35215040] Prefeitura do Municpio de Irapuã - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.000,1.000,"36.733,00",7993
5036,Itaberá,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Água e Esgoto,Sociedade de economia mista com administração pública,,,,,2.101,2.101,"102.298,00",17556
5037,Itaí,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35218040] Secretaria Municipal de Meio Ambiente - SEMMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.048,4.047,"85.679,00",27125
5040,Itanhaém,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35221040] Secretaria de Serviços e Urbanização - SESURB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,3.0,"75,00",7.0,"72,00",22.237,22.232,"1.696.078,00",101816
5041,Itaóca,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35221540] Secretaria de Obras e Serviços Urbanos - SERM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,489,488,"95.298,00",3328
5042,Itapecerica da Serra,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35222040] Secretaria Municipal de Obras e Serviços - SO,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,447.0,"12.146,00",,,34.691,4.921,"100.963,00",175693
5043,Itapetininga,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35223040] Secretaria Municipal de Meio Ambiente - SEAMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,28.279,28.277,"2.444.222,00",163901
5044,Itapeva,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35224040] Prefeitura Municipal de Itapeva - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,18.792,18.792,"2.626.056,00",94354
5045,Itapevi,SP,[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35225040] SECRETARIA DE INFRAESTRUTURA E SERVIÇOS URBANOS - SISU/ PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.313,"24.885,00",,,38.390,7.129,"108.012,00",237700
5046,Itapira,SP,[35226011] Serviço Autônomo de Água e Esgoto - SAAE | [35226040] Secretaria Municipal de Serviços Publicos - SMSP,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,59.0,,,,23.500,23.448,,74773
